st,rptdate,AF_C21,AF_C24,AF_C27,AF_C30,AF_C33,AF_C36,euc80s
AK,1982-01-31,,,,,,,
AL,1982-01-31,,,,,,,
AR,1982-01-31,,,,,,,
AZ,1982-01-31,,,,,,,
CA,1982-01-31,,,,,,,
CO,1982-01-31,,,,,,,
CT,1982-01-31,,,,,,,
DC,1982-01-31,,,,,,,
DE,1982-01-31,,,,,,,
FL,1982-01-31,,,,,,,
GA,1982-01-31,,,,,,,
HI,1982-01-31,,,,,,,
IA,1982-01-31,,,,,,,
ID,1982-01-31,,,,,,,
IL,1982-01-31,,,,,,,
IN,1982-01-31,,,,,,,
KS,1982-01-31,,,,,,,
KY,1982-01-31,,,,,,,
LA,1982-01-31,,,,,,,
MA,1982-01-31,,,,,,,
MD,1982-01-31,,,,,,,
ME,1982-01-31,,,,,,,
MI,1982-01-31,,,,,,,
MN,1982-01-31,,,,,,,
MO,1982-01-31,,,,,,,
MS,1982-01-31,,,,,,,
MT,1982-01-31,,,,,,,
NC,1982-01-31,,,,,,,
ND,1982-01-31,,,,,,,
NE,1982-01-31,,,,,,,
NH,1982-01-31,,,,,,,
NJ,1982-01-31,,,,,,,
NM,1982-01-31,,,,,,,
NV,1982-01-31,,,,,,,
NY,1982-01-31,,,,,,,
OH,1982-01-31,,,,,,,
OK,1982-01-31,,,,,,,
OR,1982-01-31,,,,,,,
PA,1982-01-31,,,,,,,
PR,1982-01-31,,,,,,,
RI,1982-01-31,,,,,,,
SC,1982-01-31,,,,,,,
SD,1982-01-31,,,,,,,
TN,1982-01-31,,,,,,,
TX,1982-01-31,,,,,,,
UT,1982-01-31,,,,,,,
VA,1982-01-31,,,,,,,
VI,1982-01-31,,,,,,,
VT,1982-01-31,,,,,,,
WA,1982-01-31,,,,,,,
WI,1982-01-31,,,,,,,
WV,1982-01-31,,,,,,,
WY,1982-01-31,,,,,,,
AK,1982-02-28,,,,,,,
AL,1982-02-28,,,,,,,
AR,1982-02-28,,,,,,,
AZ,1982-02-28,,,,,,,
CA,1982-02-28,,,,,,,
CO,1982-02-28,,,,,,,
CT,1982-02-28,,,,,,,
DC,1982-02-28,,,,,,,
DE,1982-02-28,,,,,,,
FL,1982-02-28,,,,,,,
GA,1982-02-28,,,,,,,
HI,1982-02-28,,,,,,,
IA,1982-02-28,,,,,,,
ID,1982-02-28,,,,,,,
IL,1982-02-28,,,,,,,
IN,1982-02-28,,,,,,,
KS,1982-02-28,,,,,,,
KY,1982-02-28,,,,,,,
LA,1982-02-28,,,,,,,
MA,1982-02-28,,,,,,,
MD,1982-02-28,,,,,,,
ME,1982-02-28,,,,,,,
MI,1982-02-28,,,,,,,
MN,1982-02-28,,,,,,,
MO,1982-02-28,,,,,,,
MS,1982-02-28,,,,,,,
MT,1982-02-28,,,,,,,
NC,1982-02-28,,,,,,,
ND,1982-02-28,,,,,,,
NE,1982-02-28,,,,,,,
NH,1982-02-28,,,,,,,
NJ,1982-02-28,,,,,,,
NM,1982-02-28,,,,,,,
NV,1982-02-28,,,,,,,
NY,1982-02-28,,,,,,,
OH,1982-02-28,,,,,,,
OK,1982-02-28,,,,,,,
OR,1982-02-28,,,,,,,
PA,1982-02-28,,,,,,,
PR,1982-02-28,,,,,,,
RI,1982-02-28,,,,,,,
SC,1982-02-28,,,,,,,
SD,1982-02-28,,,,,,,
TN,1982-02-28,,,,,,,
TX,1982-02-28,,,,,,,
UT,1982-02-28,,,,,,,
VA,1982-02-28,,,,,,,
VI,1982-02-28,,,,,,,
VT,1982-02-28,,,,,,,
WA,1982-02-28,,,,,,,
WI,1982-02-28,,,,,,,
WV,1982-02-28,,,,,,,
WY,1982-02-28,,,,,,,
AK,1982-03-31,,,,,,,
AL,1982-03-31,,,,,,,
AR,1982-03-31,,,,,,,
AZ,1982-03-31,,,,,,,
CA,1982-03-31,,,,,,,
CO,1982-03-31,,,,,,,
CT,1982-03-31,,,,,,,
DC,1982-03-31,,,,,,,
DE,1982-03-31,,,,,,,
FL,1982-03-31,,,,,,,
GA,1982-03-31,,,,,,,
HI,1982-03-31,,,,,,,
IA,1982-03-31,,,,,,,
ID,1982-03-31,,,,,,,
IL,1982-03-31,,,,,,,
IN,1982-03-31,,,,,,,
KS,1982-03-31,,,,,,,
KY,1982-03-31,,,,,,,
LA,1982-03-31,,,,,,,
MA,1982-03-31,,,,,,,
MD,1982-03-31,,,,,,,
ME,1982-03-31,,,,,,,
MI,1982-03-31,,,,,,,
MN,1982-03-31,,,,,,,
MO,1982-03-31,,,,,,,
MS,1982-03-31,,,,,,,
MT,1982-03-31,,,,,,,
NC,1982-03-31,,,,,,,
ND,1982-03-31,,,,,,,
NE,1982-03-31,,,,,,,
NH,1982-03-31,,,,,,,
NJ,1982-03-31,,,,,,,
NM,1982-03-31,,,,,,,
NV,1982-03-31,,,,,,,
NY,1982-03-31,,,,,,,
OH,1982-03-31,,,,,,,
OK,1982-03-31,,,,,,,
OR,1982-03-31,,,,,,,
PA,1982-03-31,,,,,,,
PR,1982-03-31,,,,,,,
RI,1982-03-31,,,,,,,
SC,1982-03-31,,,,,,,
SD,1982-03-31,,,,,,,
TN,1982-03-31,,,,,,,
TX,1982-03-31,,,,,,,
UT,1982-03-31,,,,,,,
VA,1982-03-31,,,,,,,
VI,1982-03-31,,,,,,,
VT,1982-03-31,,,,,,,
WA,1982-03-31,,,,,,,
WI,1982-03-31,,,,,,,
WV,1982-03-31,,,,,,,
WY,1982-03-31,,,,,,,
AK,1982-04-30,,,,,,,
AL,1982-04-30,,,,,,,
AR,1982-04-30,,,,,,,
AZ,1982-04-30,,,,,,,
CA,1982-04-30,,,,,,,
CO,1982-04-30,,,,,,,
CT,1982-04-30,,,,,,,
DC,1982-04-30,,,,,,,
DE,1982-04-30,,,,,,,
FL,1982-04-30,,,,,,,
GA,1982-04-30,,,,,,,
HI,1982-04-30,,,,,,,
IA,1982-04-30,,,,,,,
ID,1982-04-30,,,,,,,
IL,1982-04-30,,,,,,,
IN,1982-04-30,,,,,,,
KS,1982-04-30,,,,,,,
KY,1982-04-30,,,,,,,
LA,1982-04-30,,,,,,,
MA,1982-04-30,,,,,,,
MD,1982-04-30,,,,,,,
ME,1982-04-30,,,,,,,
MI,1982-04-30,,,,,,,
MN,1982-04-30,,,,,,,
MO,1982-04-30,,,,,,,
MS,1982-04-30,,,,,,,
MT,1982-04-30,,,,,,,
NC,1982-04-30,,,,,,,
ND,1982-04-30,,,,,,,
NE,1982-04-30,,,,,,,
NH,1982-04-30,,,,,,,
NJ,1982-04-30,,,,,,,
NM,1982-04-30,,,,,,,
NV,1982-04-30,,,,,,,
NY,1982-04-30,,,,,,,
OH,1982-04-30,,,,,,,
OK,1982-04-30,,,,,,,
OR,1982-04-30,,,,,,,
PA,1982-04-30,,,,,,,
PR,1982-04-30,,,,,,,
RI,1982-04-30,,,,,,,
SC,1982-04-30,,,,,,,
SD,1982-04-30,,,,,,,
TN,1982-04-30,,,,,,,
TX,1982-04-30,,,,,,,
UT,1982-04-30,,,,,,,
VA,1982-04-30,,,,,,,
VI,1982-04-30,,,,,,,
VT,1982-04-30,,,,,,,
WA,1982-04-30,,,,,,,
WI,1982-04-30,,,,,,,
WV,1982-04-30,,,,,,,
WY,1982-04-30,,,,,,,
AK,1982-05-31,,,,,,,
AL,1982-05-31,,,,,,,
AR,1982-05-31,,,,,,,
AZ,1982-05-31,,,,,,,
CA,1982-05-31,,,,,,,
CO,1982-05-31,,,,,,,
CT,1982-05-31,,,,,,,
DC,1982-05-31,,,,,,,
DE,1982-05-31,,,,,,,
FL,1982-05-31,,,,,,,
GA,1982-05-31,,,,,,,
HI,1982-05-31,,,,,,,
IA,1982-05-31,,,,,,,
ID,1982-05-31,,,,,,,
IL,1982-05-31,,,,,,,
IN,1982-05-31,,,,,,,
KS,1982-05-31,,,,,,,
KY,1982-05-31,,,,,,,
LA,1982-05-31,,,,,,,
MA,1982-05-31,,,,,,,
MD,1982-05-31,,,,,,,
ME,1982-05-31,,,,,,,
MI,1982-05-31,,,,,,,
MN,1982-05-31,,,,,,,
MO,1982-05-31,,,,,,,
MS,1982-05-31,,,,,,,
MT,1982-05-31,,,,,,,
NC,1982-05-31,,,,,,,
ND,1982-05-31,,,,,,,
NE,1982-05-31,,,,,,,
NH,1982-05-31,,,,,,,
NJ,1982-05-31,,,,,,,
NM,1982-05-31,,,,,,,
NV,1982-05-31,,,,,,,
NY,1982-05-31,,,,,,,
OH,1982-05-31,,,,,,,
OK,1982-05-31,,,,,,,
OR,1982-05-31,,,,,,,
PA,1982-05-31,,,,,,,
PR,1982-05-31,,,,,,,
RI,1982-05-31,,,,,,,
SC,1982-05-31,,,,,,,
SD,1982-05-31,,,,,,,
TN,1982-05-31,,,,,,,
TX,1982-05-31,,,,,,,
UT,1982-05-31,,,,,,,
VA,1982-05-31,,,,,,,
VI,1982-05-31,,,,,,,
VT,1982-05-31,,,,,,,
WA,1982-05-31,,,,,,,
WI,1982-05-31,,,,,,,
WV,1982-05-31,,,,,,,
WY,1982-05-31,,,,,,,
AK,1982-06-30,,,,,,,
AL,1982-06-30,,,,,,,
AR,1982-06-30,,,,,,,
AZ,1982-06-30,,,,,,,
CA,1982-06-30,,,,,,,
CO,1982-06-30,,,,,,,
CT,1982-06-30,,,,,,,
DC,1982-06-30,,,,,,,
DE,1982-06-30,,,,,,,
FL,1982-06-30,,,,,,,
GA,1982-06-30,,,,,,,
HI,1982-06-30,,,,,,,
IA,1982-06-30,,,,,,,
ID,1982-06-30,,,,,,,
IL,1982-06-30,,,,,,,
IN,1982-06-30,,,,,,,
KS,1982-06-30,,,,,,,
KY,1982-06-30,,,,,,,
LA,1982-06-30,,,,,,,
MA,1982-06-30,,,,,,,
MD,1982-06-30,,,,,,,
ME,1982-06-30,,,,,,,
MI,1982-06-30,,,,,,,
MN,1982-06-30,,,,,,,
MO,1982-06-30,,,,,,,
MS,1982-06-30,,,,,,,
MT,1982-06-30,,,,,,,
NC,1982-06-30,,,,,,,
ND,1982-06-30,,,,,,,
NE,1982-06-30,,,,,,,
